iter	Passed	Remaining
400	36167	40497
401	36259	40408
402	36348	40316
403	36436	40224
404	36520	40127
405	36616	40043
406	36705	39952
407	36799	39866
408	36916	39804
409	37002	39710
410	37090	39617
411	37179	39526
412	37263	39428
413	37341	39325
414	37431	39235
415	37521	39145
416	37610	39053
417	37697	38960
418	37791	38873
419	37876	38778
420	37967	38688
421	38058	38599
422	38145	38506
423	38236	38416
424	38320	38320
425	38408	38228
426	38490	38129
427	38586	38045
428	38673	37952
429	38769	37868
430	38857	37775
431	38946	37684
432	39053	37610
433	39154	37530
434	39237	37433
435	39322	37338
436	39412	37248
437	39503	37158
438	39597	37071
439	39684	36978
440	39776	36890
441	39858	36792
442	39948	36701
443	40046	36619
444	40139	36531
445	40219	36432
446	40305	36338
447	40397	36249
448	40488	36160
449	40575	36067
450	40677	35987
451	40764	35894
452	40854	35804
453	40950	35719
454	41037	35626
455	41126	35535
456	41210	35439
457	41304	35352
458	41408	35273
459	41499	35184
460	41595	35099
461	41667	34993
462	41748	34895
463	41822	34791
464	41910	34699
465	42004	34613
466	42100	34527
467	42189	34436
468	42279	34346
469	42356	34245
470	42448	34157
471	42533	34063
472	42625	33974
473	42708	33878
474	42799	33789
475	42889	33698
476	42979	33608
477	43060	33511
478	43136	33410
479	43224	33318
480	43308	33224
481	43394	33131
482	43480	33038
483	43566	32945
484	43660	32858
485	43769	32782
486	43861	32693
487	43959	32609
488	44052	32521
489	44134	32425
490	44229	32338
491	44319	32248
492	44401	32152
493	44493	32064
494	44582	31973
495	44674	31884
496	44762	31793
497	44851	31702
498	44943	31613
499	45029	31520
500	45120	31431
501	45208	31339
502	45304	31253
503	45385	31157
504	45485	31074
505	45569	30980
506	45651	30884
507	45745	30797
508	45839	30709
509	45921	30614
510	46035	30540
511	46136	30457
512	46216	30360
513	46308	30271
514	46392	30177
515	46481	30086
516	46576	29999
517	46666	29909
518	46761	29823
519	46850	29731
520	46935	29638
521	47020	29545
522	47106	29453
523	47194	29361
524	47280	29268
525	47365	29175
526	47455	29085
527	47546	28996
528	47636	28905
529	47724	28814
530	47809	28721
531	47899	28631
532	47994	28544
533	48091	28458
534	48179	28367
535	48273	28279
536	48362	28188
537	48452	28098
538	48541	28008
539	48631	27917
540	48708	27820
541	48803	27733
542	48885	27638
543	48978	27550
544	49070	27461
545	49159	27370
546	49245	27278
547	49333	27187
548	49421	27096
549	49510	27005
550	49605	26918
551	49694	26827
552	49784	26737
553	49874	26647
554	49967	26559
555	50050	26465
556	50140	26375
557	50239	26290
558	50326	26198
559	50414	26107
560	50522	26026
561	50609	25935
562	50701	25845
563	50794	25757
564	50881	25665
565	50970	25575
566	51052	25481
567	51128	25384
568	51214	25292
569	51299	25199
570	51391	25110
571	51469	25014
572	51551	24921
573	51643	24832
574	51727	24739
575	51809	24645
576	51896	24554
577	51987	24464
578	52076	24374
579	52163	24283
580	52248	24190
581	52363	24112
582	52449	24020
583	52536	23929
584	52625	23839
585	52716	23749
586	52819	23665
587	52908	23574
588	52996	23483
589	53088	23395
590	53179	23305
591	53261	23212
592	53352	23122
593	53448	23034
594	53544	22947
595	53638	22859
596	53720	22765
597	53800	22671
598	53887	22580
599	53979	22491
600	54071	22402
601	54155	22309
602	54239	22217
603	54330	22127
604	54419	22037
605	54512	21948
606	54605	21860
607	54694	21769
608	54786	21680
609	54889	21595
610	54986	21508
611	55080	21420
612	55175	21331
613	55260	21240
614	55352	21151
615	55434	21057
616	55516	20964
617	55611	20876
618	55708	20789
619	55801	20700
620	55892	20610
621	55987	20522
622	56070	20430
623	56166	20342
624	56258	20253
625	56350	20163
626	56441	20074
627	56536	19985
628	56639	19900
629	56724	19808
630	56808	19716
631	56903	19628
632	56991	19537
633	57079	19446
634	57156	19352
635	57250	19263
636	57352	19177
637	57456	19092
638	57546	19001
639	57638	18912
640	57733	18824
641	57820	18733
642	57909	18642
643	58021	18559
644	58100	18465
645	58183	18373
646	58270	18282
647	58357	18191
648	58447	18101
649	58532	18009
650	58620	17919
651	58706	17828
652	58780	17733
653	58885	17647
654	58975	17557
655	59060	17466
656	59150	17376
657	59239	17285
658	59332	17196
659	59423	17106
660	59513	17016
661	59607	16927
662	59696	16837
663	59787	16747
664	59876	16657
665	59957	16564
666	60041	16473
667	60137	16384
668	60224	16293
669	60308	16202
670	60402	16113
671	60498	16025
672	60591	15935
673	60683	15846
674	60769	15755
675	60859	15665
676	60941	15572
677	61032	15483
678	61119	15392
679	61212	15303
680	61300	15212
681	61395	15123
682	61492	15035
683	61578	14944
684	61668	14854
685	61748	14762
686	61833	14670
687	61946	14586
688	62042	14497
689	62128	14406
690	62219	14316
691	62309	14226
692	62397	14136
693	62485	14045
694	62572	13954
695	62662	13864
696	62752	13774
697	62843	13685
698	62930	13594
699	63018	13503
700	63107	13413
701	63195	13323
702	63286	13233
703	63376	13143
704	63468	13053
705	63555	12963
706	63647	12873
707	63730	12782
708	63820	12692
709	63908	12601
710	63991	12510
711	64070	12418
712	64173	12330
713	64282	12244
714	64371	12154
715	64455	12062
716	64541	11972
717	64626	11881
718	64720	11791
719	64816	11703
720	64907	11613
721	64996	11522
722	65085	11432
723	65173	11342
724	65264	11252
725	65361	11163
726	65457	11074
727	65550	10985
728	65643	10895
729	65724	10803
730	65824	10715
731	65913	10625
732	66003	10535
733	66089	10444
734	66181	10354
735	66274	10265
