iter	RMSE
163	1.221906923
164	1.221733983
165	1.221423441
166	1.221271384
167	1.221110269
168	1.220952057
169	1.220794213
170	1.220653514
171	1.220444313
172	1.22022507
173	1.220047946
174	1.219784274
175	1.219628705
176	1.219326563
177	1.219128613
178	1.218965028
179	1.218681204
180	1.218428252
181	1.218276509
182	1.21808663
183	1.217823419
184	1.217656688
185	1.217488717
186	1.21735706
187	1.217225543
188	1.217085722
189	1.21693943
190	1.216826085
191	1.216689791
192	1.216544398
193	1.216407756
194	1.216272333
195	1.216122107
196	1.215970847
197	1.215741873
198	1.215611413
199	1.215456185
200	1.215300193
201	1.215130977
202	1.215018351
203	1.214872335
204	1.21470975
205	1.214577946
206	1.214417621
207	1.214264643
208	1.214124509
209	1.213995617
210	1.213815965
211	1.213675701
212	1.213528197
213	1.213388875
214	1.213201395
215	1.213057484
216	1.212961483
217	1.212868189
218	1.212720325
219	1.212559004
220	1.212435624
221	1.212310357
222	1.212148221
223	1.212027073
224	1.211902739
225	1.211799975
226	1.211700779
227	1.211578854
228	1.211486073
229	1.211393957
230	1.211271745
231	1.211168972
232	1.211069196
233	1.210948807
234	1.210837324
235	1.210775758
236	1.210681057
237	1.210585323
238	1.210468711
239	1.210361703
240	1.210275168
241	1.21018921
242	1.210069315
243	1.209947874
244	1.209806421
245	1.209697221
246	1.209583161
247	1.209494428
248	1.209303611
249	1.209194253
250	1.209079474
251	1.208970063
252	1.208900178
253	1.208818777
254	1.208672442
255	1.208609632
256	1.208516645
257	1.208438805
258	1.208344326
259	1.208252988
260	1.208148706
261	1.208085845
262	1.207977787
263	1.207887129
264	1.207760526
265	1.207626123
266	1.207552797
267	1.207479145
268	1.207391438
269	1.207256633
270	1.207189423
271	1.207090479
272	1.207004565
273	1.206869977
274	1.206815134
275	1.206699001
276	1.206637204
277	1.206508586
278	1.206435601
279	1.206363146
280	1.206269465
281	1.206202101
282	1.206092573
283	1.205984004
284	1.205867342
285	1.205767931
286	1.205664151
287	1.205579262
288	1.205491358
289	1.205405448
290	1.205329626
291	1.205261369
292	1.205174077
293	1.205104606
294	1.205012553
295	1.204912241
296	1.204834168
297	1.204770507
298	1.204724753
299	1.204633871
300	1.204543881
301	1.204432845
302	1.204344269
303	1.204254358
304	1.204158918
305	1.204072189
306	1.204013347
307	1.203929609
308	1.203833104
309	1.203756835
310	1.203684932
311	1.203586942
312	1.203503983
313	1.203409684
314	1.203299508
315	1.203222372
316	1.203132182
317	1.203040099
318	1.202936913
319	1.202842998
320	1.202785509
321	1.202691083
322	1.202621826
323	1.202577669
324	1.202506258
325	1.202442583
326	1.202380042
327	1.202318903
328	1.202215887
329	1.202127444
330	1.202061537
331	1.20198217
332	1.201931008
333	1.201836745
334	1.201771481
335	1.201686782
336	1.201596461
337	1.201502477
338	1.201438433
339	1.201346679
340	1.201249504
341	1.20121312
342	1.201118027
343	1.201056001
344	1.200983761
345	1.200898672
346	1.200807867
347	1.200725032
348	1.200657773
349	1.200561213
350	1.20045437
351	1.200403476
352	1.200298178
353	1.200224882
354	1.200148937
355	1.200060259
356	1.199981569
357	1.199880149
358	1.199808898
359	1.199765798
360	1.199706942
361	1.199665378
362	1.199613053
363	1.199531091
364	1.199461051
365	1.19937531
366	1.199294967
367	1.199242982
368	1.199154775
369	1.199113124
370	1.199029255
371	1.19896375
372	1.198888331
373	1.198816474
374	1.19874846
375	1.1987051
376	1.198634465
377	1.198563327
378	1.198462268
379	1.198366073
380	1.198294534
381	1.198231971
382	1.198175598
383	1.19813277
384	1.198076483
385	1.19800275
386	1.197900337
387	1.19783983
388	1.197739942
389	1.197663771
390	1.197592681
391	1.197549304
392	1.197489046
393	1.197402449
394	1.197335079
395	1.197290744
396	1.197231201
397	1.197157887
398	1.197149531
399	1.197058201
400	1.196975035
401	1.196895919
402	1.196852961
403	1.196823401
404	1.196738933
405	1.196661679
406	1.196588871
407	1.196578925
408	1.196560942
409	1.196518019
410	1.196455967
411	1.19638369
412	1.19634243
413	1.19632728
414	1.196267848
415	1.196208162
416	1.196114591
417	1.196076769
418	1.196016987
419	1.195913914
420	1.195849065
421	1.19576624
422	1.195651476
423	1.195562474
424	1.195558466
425	1.195469272
426	1.195448712
427	1.19535533
428	1.195300233
429	1.195229041
430	1.195130375
431	1.1950715
432	1.195003668
433	1.194987981
434	1.194907969
435	1.194835736
436	1.194799742
437	1.194782983
438	1.194741782
439	1.194649507
440	1.194567951
441	1.19454129
442	1.19447105
443	1.194385416
444	1.194354413
445	1.194341761
446	1.194257217
447	1.194223276
448	1.19415778
449	1.194074289
450	1.19401383
451	1.19395172
452	1.1938545
453	1.193766891
454	1.193727383
455	1.193650958
456	1.193580441
457	1.193511386
458	1.193447659
459	1.193445748
460	1.193374987
461	1.193373168
462	1.193290928
463	1.193219399
464	1.193134521
465	1.19305457
466	1.192959513
467	1.192884873
468	1.192831578
469	1.192831503
470	1.192773546
471	1.1927331
472	1.192639301
473	1.192635865
474	1.192576351
475	1.192506121
476	1.192421355
477	1.192402865
478	1.192399712
479	1.192316888
480	1.192209736
481	1.19212039
482	1.192084714
483	1.191966946
484	1.191894849
485	1.191827125
486	1.191772886
487	1.19172429
488	1.191634549
489	1.191583447
490	1.191518551
491	1.191462537
492	1.191396927
493	1.191327425
494	1.191288178
495	1.191215811
496	1.191133771
497	1.191131227
498	1.191042017
499	1.191018203
500	1.1909481
501	1.190865954
502	1.190802739
503	1.190711292
504	1.190650716
505	1.190601758
506	1.190514966
507	1.190433507
508	1.190371019
509	1.19035406
510	1.190314152
511	1.190261581
512	1.190216747
513	1.190175973
514	1.190175579
515	1.190102957
516	1.190050472
517	1.189970475
518	1.189903925
519	1.189874555
520	1.189873902
521	1.189807166
522	1.189730364
523	1.189676807
524	1.189671266
525	1.189589224
526	1.189531507
527	1.189452635
528	1.189410381
529	1.189370231
530	1.189323518
531	1.189244918
532	1.189188473
533	1.189152021
534	1.189076885
535	1.189027432
536	1.189019454
537	1.189000099
538	1.188926712
539	1.188851639
540	1.188847229
541	1.188772567
542	1.188751871
543	1.188675691
544	1.188603706
545	1.188554993
546	1.188453823
547	1.188371454
548	1.188292813
549	1.188221095
550	1.188184255
551	1.188086501
552	1.188002538
553	1.187929774
554	1.187888804
555	1.187877923
556	1.187805949
557	1.187726164
558	1.187679331
559	1.187626625
560	1.18756521
561	1.187563741
562	1.187500134
563	1.187416413
564	1.187384008
565	1.187300848
566	1.187243893
567	1.187243029
568	1.187174766
569	1.187149546
570	1.187081242
571	1.187071738
572	1.187041588
573	1.187003332
574	1.186965062
575	1.186873178
576	1.186809611
577	1.186740003
578	1.186648578
579	1.18659269
580	1.186564806
581	1.186525191
582	1.186441918
583	1.186372597
584	1.186321144
585	1.18625936
586	1.186240184
587	1.186179552
588	1.186145603
589	1.186084971
590	1.186014341
591	1.186001282
592	1.185914408
593	1.185861709
594	1.185810671
595	1.1857619
596	1.185746481
597	1.185729828
598	1.185654564
599	1.185637008
600	1.185564336
601	1.185514737
602	1.185512648
603	1.185440287
604	1.18538603
605	1.185301638
606	1.185235346
607	1.185177443
608	1.185089845
609	1.185009655
610	1.184984117
611	1.184948106
612	1.184928913
613	1.184923015
614	1.184842961
615	1.184743195
616	1.184742027
617	1.184660575
618	1.184606358
619	1.184505561
620	1.184502309
621	1.184427898
622	1.184421666
623	1.184347461
624	1.184294972
625	1.184235564
626	1.184174545
627	1.184110589
628	1.184033782
629	1.183947228
630	1.183887915
631	1.183809442
632	1.183731261
633	1.183681418
634	1.183675974
635	1.183645281
636	1.18363978
637	1.183577406
638	1.183486183
639	1.183411039
640	1.183340196
641	1.183339742
642	1.183298369
643	1.183211392
644	1.183210731
645	1.183148516
646	1.18307051
647	1.183030705
648	1.182949967
649	1.182945442
650	1.182854475
651	1.182795118
652	1.182790051
653	1.182716354
654	1.182628226
655	1.182591668
656	1.182518959
657	1.182459256
658	1.182417628
659	1.182359673
660	1.182316265
661	1.182284794
662	1.182240607
663	1.182191239
664	1.18212141
665	1.182114833
666	1.182102894
667	1.182046683
668	1.182029655
669	1.181965798
670	1.181918999
671	1.181841406
672	1.181759964
673	1.181755262
674	1.181705229
675	1.181666035
676	1.181613007
677	1.181546303
678	1.181473496
679	1.181423948
680	1.181369313
681	1.181318223
682	1.181244914
683	1.181179234
684	1.18112983
685	1.181081681
686	1.181014585
687	1.18095695
688	1.180882893
689	1.180827158
690	1.180744499
691	1.180697914
692	1.180661944
693	1.18060723
694	1.18055868
695	1.180476036
696	1.18041754
697	1.180371749
698	1.180329655
699	1.180243368
700	1.180182813
701	1.180140925
702	1.180090916
703	1.180047183
704	1.17996514
705	1.179878767
706	1.179808989
707	1.179798109
708	1.17977683
709	1.179757673
710	1.179738397
711	1.179738041
712	1.17965503
713	1.179593233
714	1.179501334
715	1.179442392
716	1.179358885
717	1.179328184
718	1.179249149
719	1.179174741
720	1.179067236
721	1.179012094
722	1.178944018
723	1.178906279
724	1.178837214
725	1.178799718
726	1.178743613
727	1.178680483
728	1.178609566
729	1.178609388
730	1.178534226
731	1.178503553
732	1.178459779
733	1.178401107
734	1.178344178
735	1.178269898
736	1.178194911
737	1.178141835
738	1.178134292
739	1.17808009
740	1.178013866
741	1.177940058
742	1.177872543
743	1.177831569
744	1.177781528
745	1.177774188
746	1.177702926
747	1.177625233
748	1.177552005
749	1.177513818
750	1.177435746
751	1.177343293
752	1.177296576
753	1.177249896
754	1.177197958
755	1.177142989
756	1.177094238
757	1.17709023
758	1.17700523
759	1.176933558
760	1.176900929
761	1.176822086
762	1.176767521
763	1.176699776
764	1.176622737
765	1.176539337
766	1.176477375
767	1.176415186
768	1.176370284
769	1.176338996
770	1.176303598
771	1.176214057
772	1.176149194
773	1.176086275
774	1.176027063
775	1.17598111
776	1.175942504
777	1.175864945
778	1.175803142
779	1.175744824
780	1.175691883
781	1.175658301
782	1.175634421
783	1.175615246
784	1.175562346
785	1.175472777
786	1.175426816
787	1.175362734
788	1.17530128
789	1.175223518
790	1.175186686
791	1.175142886
792	1.175072967
793	1.175048888
794	1.174989559
795	1.174922254
796	1.174899345
797	1.174886497
798	1.174827834
799	1.174769156
800	1.174720615
801	1.174652759
802	1.174570305
803	1.174556336
804	1.174473757
805	1.174411374
806	1.174392974
807	1.174334619
808	1.174319271
809	1.174248397
810	1.174225091
811	1.174152238
812	1.174103798
813	1.174061033
814	1.174023894
815	1.173948907
816	1.173907196
817	1.173887585
818	1.173832217
819	1.173831497
820	1.173799174
821	1.173768234
822	1.173735149
823	1.173685448
824	1.173610275
825	1.173550271
826	1.173458072
827	1.173381281
828	1.173341419
829	1.173265408
830	1.173235824
831	1.173120868
832	1.17309046
833	1.17304993
834	1.172993372
835	1.172973329
836	1.172942727
837	1.172877179
838	1.172831837
839	1.172814777
840	1.172730572
841	1.172684638
842	1.172659763
843	1.172599761
844	1.172561641
845	1.172545611
846	1.17250651
847	1.172423671
848	1.172399065
849	1.172370053
